sensor_index,name,latitude,longitude
1539,Douglas 2,40.774963,-111.84694
3388,Montessori Community School,40.73344,-111.82151
5460,1027 Hollywood,40.72751,-111.861435
6276,Philo T. Farnsworth Elementary powered by UTOPIA Fiber,40.691936,-111.99147
6288,West Valley Hillsdale Elementary powered by UTOPIA Fiber,40.701218,-111.96849
6314,West Valley Country Meadows Park powered by UTOPIA Fiber,40.68405,-111.990685
6356,Cobble Knoll,40.77445,-111.88332
6360,Capitol Hill Construction,40.766937,-111.86745
6434,3500 South 500 East,40.696266,-111.87738
6602,rainbow,40.6854,-111.83166
6622,Tracy Aviary,40.74361,-111.87632
7206,"North Holladay, Utah USA",40.68566,-111.82788
271313,PiR 2835,40.70921,-111.83775
13227,West Valley Centennial Park powered by UTOPIA Fiber,40.703102,-112.02363
13273,West Valley 2920S 5990W powered by UTOPIA Fiber,40.70729,-112.03398
13279,West Valley Valley Fair powered by UTOPIA Fiber,40.68914,-111.957115
13313,West Valley Utah Cultural Celebration Center powered by UTOPIA Fiber,40.703976,-111.92974
18319,Carl Sandburg Elementary powered by UTOPIA Fiber,40.686424,-112.01881
18469,Devonshire,40.735943,-111.80772
20897,Jordan Meadows,40.782787,-111.94669
22955,Dover,40.741535,-111.818665
23587,CANYON RIM - DEVEREAUX,40.709763,-111.8179
28675,4th Ave,40.77386,-111.858665
31013,Murray 3400S West Temple powered by UTOPIA Fiber,40.697025,-111.8967
36161,West Valley Maverik Center powered by UTOPIA Fiber,40.703495,-111.951004
37727,Lynwood,40.72031,-111.8203
39999,Apricot and Quince,40.777283,-111.895325
42529,Rowland Hall Two,40.751663,-111.86353
43021,Eastcapitol Blvd Outdoor,40.792244,-111.88275
44237,Northcliffe,40.785297,-111.863075
46295,Sugarhouse,40.723938,-111.83979
46777,West Valley Fire Department Station 72 powered by UTOPIA Fiber,40.68262,-111.994484
49155,Whittier School,40.735126,-111.882286
83919,Hunter Junior High powered by UTOPIA Fiber,40.689068,-112.03574
84019,4109 Holder Dr. powered by UTOPIA Fiber,40.68181,-112.01307
86147,West Valley City Public Works powered by UTOPIA Fiber,40.70862,-111.97746
90285,Rose Park-Rondongo-Outside,40.78727,-111.93189
91661,Outdoor Sensor,40.779472,-111.865944
94765,Promontory Dr.,40.717,-111.8062
100865,EAST MILL CREEK,40.692505,-111.81041
102166,Home,40.70351,-111.84731
104574,Popperton - Dry Creek,40.777283,-111.83989
105030,Terrace Hills. Drive,40.79087,-111.86294
109530,Mohawk Outside,40.73202,-111.81282
112884,Yalecrest,40.744972,-111.848
120419,Lehmbegovic,40.75687,-111.8557
120861,Glenmare,40.74004,-111.8453
126929,West Valley fire academy power by Utopia fiber,40.709427,-111.95981
129333,Millcreek 800E,40.705807,-111.86831
129337,Lincoln Outdoor,40.74115,-111.86375
129689,F and 8th Ave 2,40.77824,-111.87601
129727,Aguilar’s Outside,40.68852,-111.959755
133674,South Salt Lake 3750S 710W powered by UTOPIA Fiber,40.689583,-111.911644
134552,Rose Park-Christensen Acres,40.78668,-111.93288
136582,Canyon Rim,40.70788,-111.81718
150790,Woodley Place,40.681103,-111.82541
155177,4144 Megan Circle,40.681572,-111.86667
156037,Architectural Nexus,40.722088,-111.81881
156623,Shed,40.746777,-111.84749
161605,North Cove -Out,40.796906,-111.88152
165997,Tranquil,40.733875,-111.84109
169779,3A,40.769947,-111.847015
174555,Wilmy,40.722404,-111.823616
199845,Canyon Rim Academy,40.705555,-111.809586
205861,2551,40.694977,-111.8186
212683,KK2,40.686176,-111.80893
235167,Navi's House,40.77708,-111.867424
238789,The Madeleine Choir School Quad,40.77089,-111.88286
248453,Canyonrim,40.700756,-111.81968
248759,Rose Park - Near SLC Airport,40.79964,-111.94635
248901,Yalecrest,40.746243,-111.84067
249189,Front patio,40.680237,-111.871254
251023,McCarthey,40.752556,-111.84682
251031,Lincoln,40.751507,-111.86291
254023,Front of House,40.74701,-111.83875
259073,The Madhouse (Funk),40.694515,-111.937294
